P,Short Frame,_ws.short
P,Malformed Packet,_ws.malformed
P,Unreassembled Fragmented Packet,_ws.unreassembled
P,Type Length Mismatch,_ws.type_length
P,Number-String Decoding Error,_ws.number_string.decoding_error
P,String Errors,_ws.string
P,IEEE 1722 Protocol,ieee1722
P,IEEE 1722.1 Protocol,ieee17221
P,IEC 61883 Protocol,iec61883
P,AVTP Audio Format,aaf
P,ACF Message,acf
P,ACF CAN,acf-can
P,ACF LIN,acf-lin
P,Clock Reference Format,crf
P,AVTP Compressed Video Format,cvf
P,Non-Time-Synchronous Control Format,ntscf
P,Time-Synchronous Control Format,tscf
P,Pro-MPEG Code of Practice #3 release 2 FEC Protocol,2dparityfec
P,3Com XNS Encapsulation,3comxns
P,IPv6 over Low power Wireless Personal Area Networks,6lowpan
P,Plan 9,9p
P,AllJoyn Name Service Protocol,ajns
P,AllJoyn Message Protocol,aj
P,AllJoyn Reliable Datagram Protocol,ardp
P,HI2Operations,hi2operations
P,ISystemActivator ISystemActivator Resolver,isystemactivator
P,S101,s101
P,3GPP2 A11,a11
P,A21 Protocol,a21
P,Appletalk Address Resolution Protocol,aarp
P,Aastra Signalling Protocol,aasp
P,Ericsson A-bis OML,gsm_abis_om2000
P,GSM A-bis OML,gsm_abis_oml
P,GSM A-bis P-GSL,gsm_abis_pgsl
P,GSM A-bis TFP,gsm_abis_tfp
P,Application Configuration Access Protocol,acap
P,Architecture for Control Networks,acn
P,Magic,magic
P,ACP133 Attribute Syntaxes,acp133
P,Advanced Card Systems ACR122,acr122
P,ISO 8650-1 OSI Association Control Service,acse
P,ISO 10035-1 OSI Connectionless Association Control Service,clacse
P,AudioCodes Trunk Trace,actrace
P,Android Debug Bridge,adb
P,Android Debug Bridge Client-Server,adb_cs
P,Android Debug Bridge Service,adb_service
P,ADwin communication protocol,adwin
P,ADwin configuration protocol,adwin_config
P,Aeron Protocol,aeron
P,Apple Filing Protocol,afp
P,Andrew File System (AFS),afs
P,AgentX,agentx
P,AOL Instant Messenger,aim
P,AIM Administrative,aim_admin
P,AIM Advertisements,aim_adverts
P,AIM Privacy Management Service,aim_bos
P,AIM Buddylist Service,aim_buddylist
P,AIM Chat Service,aim_chat
P,AIM Chat Navigation,aim_chatnav
P,AIM Directory Search,aim_dir
P,AIM E-mail,aim_email
P,AIM Generic Service,aim_generic
P,AIM ICQ,aim_icq
P,AIM Invitation Service,aim_invitation
P,AIM Location,aim_location
P,AIM Messaging,aim_messaging
P,AIM Popup,aim_popup
P,AIM Signon,aim_signon
P,AIM Server Side Info,aim_ssi
P,AIM Server Side Themes,aim_sst
P,AIM Statistics,aim_stats
P,AIM Translate,aim_translate
P,AIM User Lookup,aim_lookup
P,Advanced Intelligent Network,ain
P,Apache JServ Protocol v1.3,ajp13
P,Asynchronous Layered Coding,alc
P,AAL type 2 signalling protocol (Q.2630),alcap
P,Action Message Format,amf
P,AMP,amp
P,Advanced Message Queueing Protocol,amqp
P,AMQP Version 0.9,amqp.version.v0_9
P,AMQP Version 0.10,amqp.version.v0_10
P,AMQP Version 1.0,amqp.version.v1_0
P,Adaptive Multi-Rate,amr
P,Adaptive Multi-Rate WB,amr_wb
P,Automatic Multicast Tunneling,amt
P,Access Node Control Protocol,ancp
P,Intel ANS probe,ans
P,ANSI IS-637-A (SMS) Teleservice Layer,ansi_637_tele
P,ANSI IS-637-A (SMS) Transport Layer,ansi_637_trans
P,ANSI IS-683 (OTA (Mobile)),ansi_683
P,ANSI IS-801 (Location Services (PLD)),ansi_801
P,ANSI A-I/F BSMAP,ansi_a_bsmap
P,ANSI A-I/F DTAP,ansi_a_dtap
P,ANSI Mobile Application Part,ansi_map
P,ANSI Transaction Capabilities Application Part,ansi_tcap
P,Ad hoc On-demand Distance Vector Routing Protocol,aodv
P,ATAoverEthernet,aoe
P,America Online,aol
P,Apple IP-over-IEEE 1394,ap1394
P,Apple Network-MIDI Session Protocol,applemidi
P,Automatic Position Reporting System,aprs
P,aptX Codec,aptx
P,AR Drone Packet,ar_drone
P,ARCNET,arcnet
P,The Armagetron Advanced OpenGL Tron clone,armagetronad
P,Address Resolution Protocol,arp
P,ATM Address Resolution Protocol,atmarp
P,Artemis Core Protocol,artemis
P,Art-Net,artnet
P,Aruba Discovery Protocol,adp
P,Aruba Networks encapsulated remote mirroring,aruba_erm
P,Aruba Networks encapsulated remote mirroring - PCAP (Type 0),aruba_erm_type0
P,Aruba Networks encapsulated remote mirroring - PEEK (Type 1),aruba_erm_type1
P,Aruba Networks encapsulated remote mirroring - AIRMAGNET (Type 2),aruba_erm_type2
P,Aruba Networks encapsulated remote mirroring - PCAP+RADIO (Type 3),aruba_erm_type3
P,Aruba Networks encapsulated remote mirroring - PPI (Type 4),aruba_erm_type4
P,Aruba Networks encapsulated remote mirroring - PEEK (Type 5),aruba_erm_type5
P,Aruba Networks encapsulated remote mirroring - RADIOTAP (Type 6),aruba_erm_type6
P,Aruba Instant AP Protocol,aruba_iap
P,Aggregate Server Access Protocol,asap
P,Lucent/Ascend debug output,ascend
P,Alert Standard Forum,asf
P,ASTERIX packet,asterix
P,AT Command,at
P,LocalTalk Link Access Protocol,llap
P,Datagram Delivery Protocol,ddp
P,Name Binding Protocol,nbp
P,AppleTalk Transaction Protocol packet,atp
P,AppleTalk Session Protocol,asp
P,Printer Access Protocol,prap
P,Zone Information Protocol,zip
P,Routing Table Maintenance Protocol,rtmp
P,Apache Tribes Heartbeat Protocol,ath
P,Asynchronous Transfer Mode,atm
P,ATM AAL1,aal1
P,ATM AAL3/4,aal3_4
P,ATM OAM AAL,oamaal
P,ILMI,ilmi
P,ATM LAN Emulation,lane
P,ATM over TCP,atmtcp
P,ICAO Doc9705 CM,atn-cm
P,ICAO Doc9705 CPDLC,atn-cpdlc
P,ICAO Doc9705 ULCS,atn-ulcs
P,Cisco Auto-RP,auto_rp
P,AUTOSAR Network Management,autosar-nm
P,Arista Vendor Specific Protocol,avsp
P,Apple Wireless Direct Link data frame,awdl_data
P,Apple Wireless Direct Link action frame,awdl
P,Amateur Radio AX.25,ax25
P,AX.25 KISS,ax25_kiss
P,AX.25 no Layer 3,ax25_nol3
P,DX cluster,dx
P,AX/4000 Test Block,ax4000
P,Anything in Anything Protocol,ayiya
P,Babel Routing Protocol,babel
P,Building Automation and Control Network APDU,bacapp
P,Building Automation and Control Network NPDU,bacnet
P,PPP Bandwidth Allocation Control Protocol,bacp
P,Favored-Peer,bacp.opt.favored_peer
P,Twisted Banana,banana
P,PPP Bandwidth Allocation Protocol,bap
P,Link Type,bap.opt.link_type
P,Phone Delta,bap.opt.phone_delta
P,No Phone Number Needed,bap.opt.no_phone
P,Reason,bap.opt.reason
P,Link Discriminator,bap.opt.link_disc
P,Call Status,bap.opt.call_status
P,Logical-Link Control Basic Format XID,basicxid
P,B.A.T.M.A.N. Layer 3 Protocol,bat
P,B.A.T.M.A.N. GW,bat.gw
P,B.A.T.M.A.N. Vis,bat.vis
P,B.A.T.M.A.N. Advanced Protocol,batadv
P,PPP Bridging Control Protocol Bridged PDU,bcp_bpdu
P,PPP Bridging Control Protocol Network Control Protocol,bcp_ncp
P,Bridge-Identification,bcp_ncp.opt.bridge_id
