1915067524602222093,"[648, 32, 552, 48, 152, 16]","['STRING', 'UNKNOWN', 'STRING', 'UNKNOWN', 'STRING', 'UNKNOWN']","['Response', 'UNKNOWN', 'Response_parameter', 'UNKNOWN', 'Response_parameter', 'UNKNOWN']"
598009264312540095,[72],['STRING'],['Command_Line']
5229981766792067526,"[448, 32, 104, 48, 80, 48, 128, 48, 64, 48, 32, 16]","['STRING', 'UNKNOWN', 'STRING', 'UNKNOWN', 'STRING', 'UNKNOWN', 'STRING', 'UNKNOWN', 'STRING', 'UNKNOWN', 'STRING', 'UNKNOWN']","['Response', 'UNKNOWN', 'Response_parameter', 'UNKNOWN', 'Response_parameter', 'UNKNOWN', 'Response_parameter', 'UNKNOWN', 'Response_parameter', 'UNKNOWN', 'Response_parameter', 'UNKNOWN']"
7514498172511353523,[96],['STRING'],['Command_Line']
51965588362083952,[144],['STRING'],['Response']
4021680934407303621,"[224, 16]","['STRING', 'UNKNOWN']","['Username', 'UNKNOWN']"
8523148330983665893,"[128, 16]","['STRING', 'UNKNOWN']","['Password', 'UNKNOWN']"
1031643148387648429,[240],['STRING'],['Response']
1846420546422350677,[288],['STRING'],['Command_Line']
8563746131470194227,[64],['STRING'],['Response']
4288476671418127363,[312],['STRING'],['Command_Line']
3182304891425448826,[112],['STRING'],['Response']
2140800127277475792,[48],['STRING'],['Command_Line']
6534257192029559065,[448],['STRING'],['Response']
5512998145972485221,[232],['UNKNOWN'],['UNKNOWN']
5418309282103502093,[224],['STRING'],['Response']
5564264180701151296,[384],['STRING'],['Response']
