ProtocolName,WiresharkName,ByteHeaderLength,NumberOfHeaderFields,ReliableParsing
ARP,arp,28,9,1
DHCP,dhcp,240,16,1
DNP3,dnp3,6,4,1
DNS,dns,12,6,1
EAPOL,eapol,4,3,1
ETHERNET,eth,26,6,1
FTPv6,ftp,0,0,1
HTTP,http,0,0,0
ICMP,icmp,4,3,1
ModBus,modbus,0,0,1
ModBusTCP,mbtcp,7,4,1
MQTT,mqtt,2,2,1
NBDGM,nbdgm,12,6,1
NBNS,nbns,12,6,1
NTPv4,ntp,48,11,1
PMU,synphasor,14,6,1
SMB,smb,32,14,1
SMB2,smb2,8,3,1
SMTP,smtp,0,0,0
STUN,stun,20,4,0
S7Comm,s7comm,6,4,1
TFTP,tftp,0,0,0
USB,usb,40,13,1
UDP,udp,8,4,1
TCP,tcp,20,8,1
IP,ip,20,10,1
