,Protocol,Logistic Regression,Gradient Boosting,Random Forest,Stochastic Gradient Descent
0,ARP,1.59,1.59,1.66,1.58
1,DHCP,1.38,1.38,1.35,1.35
2,DNP3,1.6,1.6,1.62,1.59
3,DNS,1.47,1.54,1.52,1.48
4,EAPOL,1.59,1.59,1.62,1.58
5,ETHERNET,1.6,1.58,1.62,1.58
6,FTPv6,1.59,1.59,1.62,1.58
7,ICMP,1.6,1.59,1.62,1.59
8,ModBus,1.6,1.59,1.62,1.58
9,ModBusTCP,1.6,1.58,1.62,1.58
10,MQTT,1.6,1.59,1.62,1.59
11,NBDGM,1.6,1.59,1.62,1.58
12,NBNS,1.59,1.6,1.62,1.59
13,NTPv4,1.6,1.6,1.6,1.58
14,PMU,1.6,1.59,1.62,1.59
15,SMB,1.6,1.59,1.62,1.59
16,SMB2,1.6,1.59,1.62,1.57
17,S7Comm,1.69,1.69,1.69,1.68
18,USB,1.59,1.57,1.62,1.58
19,UDP,1.6,1.59,1.62,1.59
20,TCP,1.6,1.58,1.62,1.6
21,IP,1.59,1.58,1.62,1.59
22,USBMouse,1.59,1.59,1.62,1.58
